filename,detected_streaks,proc_time_ms,status
1548.fits,2,62.46,OK
1549.fits,6,63.05,OK
155.fits,11,69.46,OK
1550.fits,3,59.79,OK
1551.fits,1,60.82,OK
1552.fits,3,61.97,OK
1553.fits,2,62.72,OK
1554.fits,3,67.94,OK
1555.fits,1,66.86,OK
1556.fits,7,62.38,OK
1557.fits,4,61.09,OK
1558.fits,4,66.01,OK
1559.fits,8,64.59,OK
156.fits,3,68.24,OK
1560.fits,4,58.54,OK
1561.fits,7,67.60,OK
1562.fits,4,66.50,OK
1563.fits,2,62.14,OK
1564.fits,3,62.61,OK
1565.fits,1,62.62,OK
1566.fits,2,59.73,OK
1567.fits,7,60.85,OK
1568.fits,3,67.12,OK
1569.fits,3,64.54,OK
157.fits,2,65.81,OK
1570.fits,3,66.79,OK
1571.fits,7,56.81,OK
1572.fits,3,66.12,OK
1573.fits,3,64.81,OK
1574.fits,2,61.63,OK
1575.fits,5,60.20,OK
1576.fits,6,66.14,OK
1577.fits,2,59.97,OK
1578.fits,3,60.02,OK
1579.fits,6,64.98,OK
158.fits,6,63.94,OK
1580.fits,3,55.75,OK
1581.fits,4,62.07,OK
1582.fits,3,58.17,OK
1583.fits,13,76.58,OK
1584.fits,3,73.37,OK
1585.fits,6,63.87,OK
1586.fits,3,58.66,OK
1587.fits,4,67.09,OK
1588.fits,1,72.51,OK
1589.fits,5,68.96,OK
159.fits,5,66.38,OK
1590.fits,5,64.91,OK
1591.fits,4,59.92,OK
1592.fits,7,68.65,OK
1593.fits,0,66.05,OK
1594.fits,8,65.95,OK
1595.fits,4,65.88,OK
1596.fits,3,66.38,OK
1597.fits,2,66.15,OK
1598.fits,2,63.26,OK
1599.fits,6,60.07,OK
16.fits,1,60.65,OK
160.fits,3,66.04,OK
1600.fits,2,61.46,OK
1601.fits,6,65.75,OK
1602.fits,0,62.98,OK
1603.fits,3,65.58,OK
1604.fits,3,59.81,OK
1605.fits,10,64.27,OK
1606.fits,1,60.47,OK
1607.fits,1,67.63,OK
1608.fits,4,63.26,OK
1609.fits,3,70.89,OK
161.fits,4,61.78,OK
1610.fits,3,62.88,OK
1611.fits,5,63.41,OK
1612.fits,2,54.35,OK
1613.fits,2,70.00,OK
1614.fits,5,64.48,OK
1615.fits,4,68.97,OK
1616.fits,6,61.22,OK
1617.fits,2,61.11,OK
1618.fits,7,60.56,OK
1619.fits,1,61.24,OK
162.fits,3,61.62,OK
1620.fits,4,64.40,OK
1621.fits,3,74.22,OK
1622.fits,2,72.83,OK
1623.fits,3,69.01,OK
1624.fits,4,66.70,OK
1625.fits,2,60.86,OK
1626.fits,9,70.26,OK
1627.fits,4,59.65,OK
1628.fits,8,71.83,OK
1629.fits,1,71.73,OK
163.fits,1,66.93,OK
1630.fits,1,64.39,OK
1631.fits,3,62.90,OK
1632.fits,5,59.56,OK
1633.fits,4,65.16,OK
1634.fits,4,64.47,OK
1635.fits,3,72.44,OK
1636.fits,19,63.41,OK
1637.fits,2,56.40,OK
1638.fits,2,63.35,OK
1639.fits,6,62.68,OK
164.fits,3,60.12,OK
1640.fits,2,55.99,OK
1641.fits,14,68.66,OK
1642.fits,5,62.55,OK
1643.fits,4,62.08,OK
1644.fits,3,65.70,OK
1645.fits,3,64.08,OK
1646.fits,4,65.50,OK
1647.fits,1,61.34,OK
1648.fits,3,63.23,OK
1649.fits,4,59.28,OK
165.fits,2,63.30,OK
1650.fits,2,61.45,OK
1651.fits,7,63.36,OK
1652.fits,1,61.56,OK
1653.fits,5,61.76,OK
1654.fits,2,65.15,OK
1655.fits,3,67.59,OK
1656.fits,2,62.01,OK
1657.fits,10,65.23,OK
1658.fits,6,64.32,OK
1659.fits,3,63.68,OK
166.fits,2,59.66,OK
1660.fits,5,63.59,OK
1661.fits,6,67.30,OK
1662.fits,1,71.78,OK
1663.fits,0,60.53,OK
1664.fits,3,57.09,OK
1665.fits,9,62.89,OK
1666.fits,4,62.56,OK
1667.fits,0,62.72,OK
1668.fits,8,65.51,OK
1669.fits,3,66.53,OK
167.fits,5,60.88,OK
1670.fits,2,64.16,OK
1671.fits,6,61.86,OK
1672.fits,5,65.37,OK
1673.fits,2,59.27,OK
1674.fits,5,66.90,OK
1675.fits,1,60.97,OK
1676.fits,4,54.81,OK
1677.fits,3,67.12,OK
1678.fits,6,67.74,OK
1679.fits,4,66.66,OK
168.fits,4,67.92,OK
1680.fits,2,59.59,OK
1681.fits,3,62.06,OK
1682.fits,7,66.75,OK
1683.fits,8,64.86,OK
1684.fits,4,59.47,OK
1685.fits,3,67.91,OK
1686.fits,5,66.73,OK
1687.fits,5,63.53,OK
1688.fits,4,63.25,OK
1689.fits,4,57.59,OK
169.fits,4,63.22,OK
1690.fits,2,69.09,OK
1691.fits,3,66.98,OK
1692.fits,0,65.86,OK
1693.fits,8,61.23,OK
1694.fits,1,63.59,OK
1695.fits,5,67.13,OK
1696.fits,3,69.32,OK
1697.fits,3,63.53,OK
1698.fits,10,65.16,OK
1699.fits,5,67.59,OK
17.fits,5,64.31,OK
170.fits,9,64.17,OK
1700.fits,2,61.12,OK
1701.fits,4,63.85,OK
1702.fits,1,59.60,OK
1703.fits,5,68.10,OK
1704.fits,5,62.06,OK
1705.fits,11,60.40,OK
1706.fits,5,57.95,OK
1707.fits,3,69.62,OK
1708.fits,9,70.13,OK
1709.fits,6,57.84,OK
171.fits,2,59.35,OK
1710.fits,3,63.72,OK
1711.fits,6,66.27,OK
1712.fits,3,58.06,OK
1713.fits,0,66.68,OK
1714.fits,7,61.02,OK
1715.fits,6,67.37,OK
1716.fits,2,64.55,OK
1717.fits,2,60.73,OK
1718.fits,4,66.07,OK
1719.fits,5,68.69,OK
172.fits,2,75.66,OK
1720.fits,2,74.34,OK
1721.fits,8,62.80,OK
1722.fits,2,62.53,OK
1723.fits,5,62.95,OK
1724.fits,11,67.06,OK
1725.fits,5,61.43,OK
1726.fits,1,58.80,OK
1727.fits,2,60.53,OK
1728.fits,1,64.80,OK
1729.fits,2,61.13,OK
173.fits,4,61.37,OK
1730.fits,3,59.60,OK
1731.fits,1,55.47,OK
1732.fits,6,73.54,OK
1733.fits,1,65.37,OK
1734.fits,3,65.56,OK
1735.fits,3,60.29,OK
1736.fits,1,61.19,OK
1737.fits,3,64.89,OK
1738.fits,10,63.23,OK
1739.fits,3,62.49,OK
174.fits,2,66.86,OK
1740.fits,5,64.45,OK
1741.fits,3,60.27,OK
1742.fits,4,60.54,OK
1743.fits,1,56.28,OK
1744.fits,3,61.44,OK
1745.fits,8,57.24,OK
1746.fits,4,60.02,OK
1747.fits,9,62.96,OK
